original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
100,Action,141,India,Tamil,Sam Anton,Auraa Cinemas,"A young cop, who works in a police control room, tries to solve the mysterious case of a kidnapped girl.",6.5,849,23,3
The Last Porno Show,Drama,90,Canada,English,Kire Paputts,Made By Other People,"Wayne, a struggling method actor, inherits the city's last porno cinema from his estranged father Al. Seeing this as an unconventional opportunity to reconcile their relationship, Wayne ...",6.4,113,,4
The Tax Collector,"Action, Crime, Drama",95,USA,English,David Ayer,Cedar Park Entertainment,"A ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in L.A. and upends the business.",4.7,4862,255,47
Servants,Drama,80,"Slovakia, Romania, Czech Republic, Ireland",Slovak,Ivan Ostrochovský,Punkchart films,"Two students of a theological seminary in totalitarian Czechoslovakia must decide if they'll choose the easier way of collaboration, or if they'll subject themselves to the surveillance of the secret police.",5.8,164,1,6
Evening Installation,Thriller,80,USA,English,Tatiana Sokolova,,"An installation guy comes to a girl's apartment and wants her to treat him as a guest. When she refuses, he turns into a psycho.",6.9,664,21,
En las buenas y en las malas,"Comedy, Romance",86,Mexico,Spanish,Gabriel Barragan Senties,Bh5,"""En las buenas y en las malas"" presents the story of Valeria and Sebastian, a couple who have been together for several years and, after pressure from friends, family and colleagues, have ...",4.5,202,1,
Cat in the Wall,Drama,92,"Bulgaria, UK, France",English,"Vesela Kazakova, Mina Mileva",Activist38,"South-East London, in the multicultural neighborhood of Peckham, in a municipal building. A Bulgarian family goes into serious conflict with their neighbors due to abandoned cat.",5.5,252,5,19
Verliefd op Cuba,"Comedy, Drama, Romance",105,Netherlands,Dutch,Johan Nijenhuis,Johan Nijenhuis & Co,"A mother finds out that her daughter not only has a new relationship with a Cuban, but is also getting married in Cuba. She wants to put a stop to the doomed marriage, and takes the first plane.",4.8,346,3,4
Chintu Ka Birthday,Drama,80,India,"Hindi, English, Arabic","Devanshu Singh, Satyanshu Singh",One Two Flip Entertainment,"During US invasion of Iraq some illegal migrants are waiting to get back home to India. As one such family prepares to celebrate the 6th birthday of their youngest member Chintu, their kind-hearted Iraqi landlord lends them a helping hand.",7.9,3269,113,13
Shine Your Eyes,"Drama, Thriller",102,"Brazil, France","Portuguese, English, Hungarian, Chinese",Matias Mariani,February Films,"Amadi, a musician from Lagos, Nigeria, arrives in São Paulo, Brazil, with a mission: to locate his brother, Ikenna, who has recently broken all ties with their family - becoming, as the ...",5.9,116,3,11
Volevo nascondermi,"Biography, Drama",120,Italy,Italian,Giorgio Diritti,Palomar,"Antonio is expelled from Switzerland to Italy against his will. For years he lives in poverty in the Po floodplains, but he never gives up his passion for drawing. The story of Antonio Ligabue, a revolutionary loner in modern art.",6,367,2,36
Hinsdale House,Horror,65,USA,English,Steve Stanulis,Stanulis Films,"Hinsdale House, starring Aly Mang, Steve Stanulis, and Eric Freedman, is described as Paranormal Activity meets Blair Witch Project. The house is billed as this generation's Amityville ...",5.7,766,38,4
City of Salt,"Drama, Mystery",115,USA,,"Alicia Oberle Farmer, John D. Farmer",Zepstone Media,"A community in Salt Lake City, Utah, is turned upside down when a popular high school girl disappears in the midst of her father's political campaign.",5.3,535,32,7
Steam Room Stories: The Movie!,Comedy,95,USA,English,J.C. Calciano,,Failing cosmetics magnate Sally Fay will stop at nothing to possess the waters of the Steam Room to help lift her sagging empire. What she doesn't count on is the Steam Room Guys banding together to thwart her evil plans.,4.2,175,10,8
Fortuna's Eye,"Fantasy, Romance",111,Japan,Japanese,Takahiro Miki,Amuse,Shinichiro is lonely for two reasons. He lost his family in an accident when he was younger. He also has an unusual and morbid ability to see through and beyond the corporal bodies of those...,6.3,211,1,1
Apocalyptic 2077,"Action, Sci-Fi",64,UK,,Marc Hamill,Acclaim Video,"After witnessing the apocalypse from a research bunker in the Scottish highlands, Jack survives with only the station's AI mainframe computer ( J.I.M. ) to keep him company. When the food ...",3.8,269,10,2
India's Most Wanted,"Action, Thriller",123,India,Hindi,Raj Kumar Gupta,Fox STAR Studios,A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,4.5,1787,74,16
The Room,"Drama, Horror, Mystery",100,"France, Luxembourg, Belgium",English,Christian Volckman,Les Films du Poisson,"Matt and Kate buy an isolated house. While moving, they discover a strange room that grants them an unlimited number of material wishes. But, since Kate has had two miscarriages, what they miss the most is a child.",6,11832,134,31
Clownado,"Comedy, Horror",99,USA,English,Todd Sheets,Extreme Entertainment,"Cursed demonic circus clowns set out on a vengeful massacre using tornadoes. A stripper, Elvis impersonator, truck driver, teen runaway, and a dude get caught in the supernatural battle between femme fatal and the boss clown from hell.",5.8,2183,39,55
Porno,"Comedy, Horror",98,USA,English,Keola Racela,Evoke,"When five teen employees at the local movie theater in a small Christian town discover a mysterious old film hidden in its basement, they unleash an alluring succubus who gives them a sex education...written in blood.",4.9,824,15,59
Bad Therapy,"Comedy, Drama, Romance",97,USA,English,William Teitler,Varient,"A couple seeks out Judy Small, a marriage counselor; but the counselor is more than what meets the eye.",4.2,410,13,8
La hija de un ladrón,Drama,102,Spain,"Spanish, Catalan",Belén Funes,Oberón Cinematográfica,"Her father is a convicted, her boyfriend rejects her, her brother is troublemaker, her baby needs money and she's half-deaf of one ear. Bad times to be Sara.",6.3,522,,10
Taksi bluz,"Action, Comedy, Romance",88,Serbia,Serbian,Miroslav Stamatov,Viktorija Film,A taxi driver's normal shift turns into a chaotic adventure.,6.7,1181,7,4
Saturday Fiction,"Drama, History",126,China,"Mandarin, English, Japanese, French",Ye Lou,United Entertainment Partners,Yu Jin is working undercover gathering intelligence for the Allies.,5.9,250,3,23
Hamilton,"Biography, Drama, History",160,USA,English,Thomas Kail,Walt Disney Pictures,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.7,37551,488,86
Good Newwz,Comedy,134,India,"Hindi, English",Raj Mehta,Cape of Good Films,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,7,13062,288,29
Betta Fish,Drama,76,USA,English,Bill Cooper,HafAple Films,"Danny Bishop is a gambling prodigy. After exiling himself to prison, he returns to his brothers home only to find himself back in the game because of a large debt for his protection in ...",2.7,104,4,
Merveilles à Montfermeil,Comedy,109,France,"French, Arabic, Turkish, Lingala, Soninke, Tamil",Jeanne Balibar,Film(s),"Emmanuelle Joly, mayor of Montfermeil, was elected on the background of an original political program. But the personal difficulties of the members of the municipal team rub off on the implementation of this unprecedented policy.",3.6,101,1,2
Satanic Panic,"Comedy, Horror",85,USA,English,Chelsea Stardust,Fangoria,A pizza delivery girl at the end of her financial rope has to fight for her life - and her tips - when her last order of the night turns out to be high society Satanists in need of a virgin sacrifice.,5.6,3766,60,104
Christmas in the Wild,"Comedy, Drama, Romance",85,USA,English,Ernie Barbarash,Advantage Entertainment,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.",6.1,10135,135,23
Creep Nation,"Horror, Thriller",88,Canada,English,John Geddes,Foresight Features,"A young woman is targeted by a network of online creeps, and secretly filmed while she stays at a short-term rental. Her every move is captured online, and when her brother begins to ...",4.2,157,8,4
Nova Lituania,Drama,96,Lithuania,Lithuanian,Karolis Kaupinis,M-Films,"It's late 1930's. Foreseeing the upcoming war in Europe, Lithuanian geographer Feliksas Gruodis comes up with an idea to save his country by establishing a Lithuanian colony overseas. The ...",7.3,190,2,1
Il campione,Drama,105,Italy,Italian,Leonardo D'Agostini,Groenlandia,"Christian is an extremely talented as well as unpredictable football player. After his latest screw-up, the president of his team decides to assign him a personal tutor, to help him in ...",6.1,1173,4,12
Chola,"Drama, Thriller",120,India,Malayalam,Sanal Kumar Sasidharan,Appu Pathu Pappu Production House,"Teenage Janaki departs for a day in the city at dawn. Her suitor has arranged for a ride with his boss, a sullen and dark man who lets Janaki know that he knows she's there without her mother's permission.",5.5,238,14,5
Sorkhpust,"Drama, Mystery, Romance",100,Iran,Persian,Nima Javidi,Iranian Independents,"A prison is about to be evacuated to make room for an airport expansion project. Colonel Jahed and his officers are busy transferring all inmates to the new facility, but one inmate is missing.",7.4,3154,30,43
Roped,"Drama, Romance",91,USA,English,Shaun Paul Piccinino,ESX Entertainment,A progressive town erupts when a traveling rodeo lands within its city limits. The town councilman butts head with a young cowboy on his rise to super stardom. When the councilman's ...,5.2,718,51,6
Here Awhile,Drama,85,USA,English,Tim True,Matchstrike Pictures,Terminally ill Anna returns to Oregon to reconnect with her estranged brother while simultaneously making the heart-wrenching choice to end her life putting to use the Death with Dignity Act.,5.4,131,7,2
Favolacce,Drama,98,"Italy, Switzerland",Italian,"Damiano D'Innocenzo, Fabio D'Innocenzo",Pepito Produzioni,A few families living out on a limb in the suburbs of Rome. Tensions here can explode at any time; ultimately it's the children who bring about the collapse.,6.8,3320,15,35
Dolemite Is My Name,"Biography, Comedy, Drama",118,USA,English,Craig Brewer,Davis Entertainment,,7.3,49045,331,150
Beats,Drama,109,USA,English,Chris Robinson,51 Minds Entertainment,"A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's music scene.",6.4,3913,47,13
Next Door,"Comedy, Drama, Horror",83,UK,English,Matt Shaw,Matt Shaw Productions,Do you really know who lives NEXT DOOR to you? In Matt Shaw's new horror / comedy we take a look at the lives of those living behind closed doors on a seemingly busy street - What skeletons lurk within?,3.3,100,22,3
Kill Chain,"Action, Thriller",91,USA,English,Ken Sanzel,Cinetel Films,Three strangers' lives are inevitably entangled in a conflict none of them are prepared for.,5,2812,59,10
Systemsprenger,Drama,125,Germany,German,Nora Fingscheidt,Kineo Filmproduktion,"On her wild quest for love, 9-year-old Benni's untamed energy drives everyone around her to despair.",7.8,7723,33,72
Chamboultout,Comedy,100,"France, Belgium","French, Portuguese",Eric Lavaine,Same Player,"Beatrice celebrates with her family the release of her book: she tells about the accident of her husband Frederic. He became blind and without filter - always so funny and seductive, he is ...",6.1,661,4,5
Murder RX,Drama,86,USA,English,Ken Brisbois,Spirit Movie Productions,A single mom moves to a small town hoping for a fresh start. Soon she discovers dark secrets hidden in this quaint town that she may not be able to escape.,3.8,101,13,
The Way Back,"Drama, Sport",108,"USA, Canada",English,Gavin O'Connor,Warner Bros.,"Jack Cunningham was an HS basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",6.7,23769,253,139
Adventures of Rufus: The Fantastic Pet,"Adventure, Family",82,"France, USA",English,Ryan Bellgardt,ACE Entertainment,"Scott and Emily are at his grandmother's home when they suddenly discover a mysterious creature. They have a mission: with the help of an ancient spell book, they'll gather some ingredients to make a magic dust to save their world.",4.3,275,22,2
Bundy and the Green River Killer,"Crime, Drama, Thriller",85,UK,English,Andrew Jones,North Bank Entertainment,A police detective consults with incarcerated madman Ted Bundy to help him catch The Green River Killer.,3.7,596,58,8
